	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_4.c3d	F07WBS_4.c3d	F07WBS_4.c3d	F07WBS_4.c3d	F07WBS_4.c3d	F07WBS_4.c3d
	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
16	-7.11454	109.48489	14.92393	-32.17662	-1.62270	-54.02316	-8.07394	100.03546	12.32193	-25.47842	0.79344	-45.02395	-11.22324	93.17693	15.19747	-1.27195	0.16528	-67.21465	-10.13689	125.07377	14.99267	-63.03654	-1.10842	-47.33651
17	-5.94594	114.57650	14.56757	-40.13163	-2.16065	-50.43253	-6.92068	106.15125	12.03169	-35.60133	0.26596	-48.77262	-10.20576	99.14402	15.12817	-12.97317	-0.54141	-65.48582	-8.69767	128.33937	14.33566	-66.54871	-1.69102	-45.20609
18	-4.73707	118.01381	14.14667	-45.60441	-2.67357	-47.08643	-5.71654	110.88430	11.66010	-42.44151	-0.30734	-50.37054	-9.13535	103.70081	14.94983	-23.27573	-1.23236	-61.93390	-7.25032	128.63809	13.66658	-65.61233	-2.25136	-43.99040
19	-3.51240	119.21322	13.68748	-48.42775	-3.16503	-44.54214	-4.48834	113.64935	11.23866	-45.94687	-0.89721	-50.45199	-8.02269	106.60281	14.67908	-31.75879	-1.89329	-57.75118	-5.83213	126.55817	13.02257	-61.11620	-2.78325	-43.16616
20	-2.30040	117.94735	13.21597	-48.68022	-3.63877	-42.80369	-3.26588	114.13738	10.79623	-46.33082	-1.47508	-49.34872	-6.88417	107.77286	14.33590	-38.12905	-2.51626	-53.53783	-4.46957	122.76117	12.42955	-54.34248	-3.27766	-42.14505
21	-1.12636	114.46027	12.75499	-46.72763	-4.09532	-41.56186	-2.07830	112.24847	10.35816	-44.00766	-2.01569	-47.29034	-5.73967	107.56583	13.94085	-42.46362	-3.09458	-49.37685	-3.17551	118.12832	11.90153	-46.83831	-3.72688	-40.58213
22	-0.00742	109.32714	12.32160	-43.22231	-4.53175	-40.38443	-0.94973	108.20911	9.94526	-39.81406	-2.50202	-44.57220	-4.60464	106.82435	13.51048	-45.25358	-3.62001	-45.05495	-1.94614	113.80563	11.43833	-40.37030	-4.12874	-38.46014
23	1.04773	103.18277	11.92528	-39.03121	-4.94285	-38.89415	0.10622	102.76673	9.56892	-35.17535	-2.92804	-41.55849	-3.48446	106.43987	13.05472	-47.22371	-4.08325	-40.33268	-0.76133	110.88248	11.02455	-36.42992	-4.48989	-36.13114
24	2.03674	96.71355	11.56718	-35.13953	-5.32392	-36.98448	1.09171	97.24910	9.22611	-31.74272	-3.29886	-38.68917	-2.37421	106.92336	12.57644	-49.17326	-4.47723	-35.16344	0.40739	109.82499	10.63547	-35.55806	-4.82652	-34.18407
25	2.96424	90.88307	11.24016	-32.49775	-5.67477	-34.93265	2.02657	93.27236	8.90084	-30.70144	-3.62940	-36.41393	-1.26246	108.26958	12.07175	-51.81672	-4.80090	-29.80864	1.58369	110.27570	10.24724	-37.26110	-5.16069	-33.09701
26	3.84437	86.80978	10.93003	-31.72918	-6.00257	-33.26138	2.94368	92.04356	8.57156	-32.35187	-3.94045	-34.97252	-0.13737	110.17776	11.53225	-55.50415	-5.06164	-24.83619	2.77945	111.55039	9.84331	-40.50177	-5.51255	-32.95605
27	4.69900	85.12544	10.61966	-32.86088	-6.32108	-32.42965	3.87795	93.71938	8.21911	-36.15604	-4.25225	-34.30083	1.00944	112.38010	10.95011	-60.04028	-5.27595	-20.91312	3.99657	113.19163	9.41543	-44.14149	-5.89322	-33.55651
28	5.54968	85.57648	10.29437	-35.36813	-6.64652	-32.59063	4.85430	97.47349	7.83194	-41.03402	-4.58005	-34.22314	2.18190	114.56577	10.32283	-64.79976	-5.46639	-18.49991	5.23171	115.02225	8.96272	-47.17263	-6.30441	-34.68601
29	6.41090	87.38532	9.94533	-38.48467	-6.99188	-33.56927	5.88255	102.13596	7.40824	-45.74312	-4.93355	-34.60875	3.37739	116.20751	9.65531	-68.92067	-5.65578	-17.76396	6.47949	116.90096	8.49045	-48.85664	-6.74239	-36.16716
30	7.28955	89.76205	9.56981	-41.42317	-7.36274	-35.06441	6.95971	106.66998	6.95473	-49.17851	-5.31651	-35.31955	4.58519	116.81190	8.96053	-71.48442	-5.86312	-18.69266	7.73413	118.49656	8.00848	-48.70795	-7.19976	-37.85637
31	8.18668	92.04316	9.17120	-43.38795	-7.75771	-36.90177	8.07379	110.22502	6.48432	-50.48081	-5.72548	-36.19970	5.78949	116.17920	8.25805	-71.78029	-6.10226	-21.08512	8.98844	119.21099	7.53073	-46.38123	-7.66794	-39.77477
32	9.09849	93.70523	8.76000	-43.61714	-8.17257	-39.08575	9.20631	112.00966	6.01458	-49.01860	-6.15149	-37.22347	6.97364	114.26340	7.56999	-69.47681	-6.38021	-24.48217	10.23160	118.44070	7.07558	-41.74260	-8.14239	-41.94941
33	10.01764	94.41903	8.35343	-41.56234	-8.60429	-41.61466	10.33344	111.30748	5.56764	-44.39097	-6.58572	-38.62958	8.12174	111.01153	6.91767	-64.56715	-6.69620	-28.33094	11.44986	115.89712	6.66370	-35.07098	-8.62332	-44.12778
34	10.93482	93.89142	7.97255	-37.04795	-9.05192	-44.27541	11.42803	107.75333	5.16976	-36.50124	-7.02558	-40.89585	9.21945	106.39049	6.32049	-57.19798	-7.04476	-32.28562	12.62858	111.53294	6.31338	-26.93497	-9.11208	-45.95541
35	11.83710	91.73952	7.63866	-30.34345	-9.51522	-46.63352	12.46389	101.54170	4.84921	-25.63440	-7.47837	-44.51331	10.25448	100.44546	5.79733	-47.55576	-7.42172	-36.33533	13.75184	105.30784	6.03978	-17.78893	-9.61041	-47.39056
36	12.70750	87.82700	7.36934	-22.23623	-9.99211	-48.13308	13.42024	93.31004	4.63344	-12.49816	-7.96066	-49.62317	11.21683	93.47350	5.36794	-35.89455	-7.82846	-40.72757	14.80161	97.29942	5.85786	-7.84119	-10.12304	-48.78983
37	13.53019	82.61169	7.17338	-13.84508	-10.47559	-48.24633	14.28400	83.86752	4.54531	1.80802	-8.49258	-55.78444	12.10162	86.18025	5.05203	-22.60223	-8.27334	-45.82256	15.76115	87.92943	5.78312	2.79672	-10.65902	-50.56278
38	14.29699	76.94308	7.04954	-5.83669	-10.95306	-46.88329	15.04972	73.99940	4.59816	15.99226	-9.08958	-62.15734	12.91253	79.38515	4.86720	-8.14420	-8.77063	-51.92053	16.61964	77.90014	5.82961	14.01398	-11.22768	-52.61408
39	15.00858	71.49387	6.99633	2.23789	-11.41315	-44.77036	15.71870	64.32082	4.79254	28.93469	-9.75743	-67.92643	13.65973	73.54990	4.82763	6.95305	-9.33694	-59.05175	17.37425	67.88095	6.00739	25.65132	-11.82891	-54.06376
40	15.66991	66.36479	7.02402	11.45712	-11.85507	-43.00008	16.29662	55.16859	5.11722	40.00325	-10.49135	-72.45626	14.35492	68.72910	4.94161	22.01872	-9.98531	-66.73334	18.02784	58.34007	6.32084	37.44575	-12.44548	-53.59192
41	16.28370	61.22864	7.15405	22.44394	-12.28714	-41.96944	16.79074	46.73882	5.55410	49.09361	-11.27576	-75.10480	15.00874	64.82533	5.20903	36.16692	-10.71778	-73.77071	18.58698	49.76670	6.76774	48.99042	-13.04374	-50.06913
42	16.84843	55.82622	7.40773	34.94822	-12.71438	-40.97744	17.20999	39.34061	6.08334	56.39950	-12.08361	-75.11488	15.63081	61.75364	5.61853	48.41174	-11.51835	-78.43145	19.06390	42.84239	7.33893	59.78076	-13.58117	-42.93293
43	17.36122	50.19870	7.79727	48.20209	-13.12919	-38.81831	17.56674	33.34161	6.68559	62.25089	-12.87740	-71.80343	16.22999	59.34861	6.14794	58.28922	-12.35146	-79.28373	19.47820	38.18849	8.01933	69.32366	-14.01501	-32.23880
44	17.82028	44.48571	8.32439	61.45573	-13.51166	-34.50854	17.87569	28.86168	7.34439	67.20427	-13.61424	-64.86207	16.81191	57.24121	6.77334	66.44202	-13.17149	-76.07807	19.85447	35.94596	8.79008	77.25087	-14.30914	-18.61855
45	18.22421	38.73739	8.98433	74.37216	-13.83507	-27.59226	18.14975	25.72289	8.05043	72.03893	-14.25356	-54.50354	17.37655	54.95944	7.48149	74.15329	-13.93756	-69.47530	20.21636	35.60709	9.63145	83.55433	-14.43913	-3.10521
46	18.57126	32.98651	9.77194	87.11420	-14.07160	-18.03872	18.39860	23.64177	8.80385	77.55747	-14.76315	-41.38804	17.91807	52.11912	8.27140	82.27471	-14.61726	-59.93393	20.58080	36.12220	10.52822	88.83385	-14.39276	13.41569
47	18.86057	27.33759	10.68589	100.16792	-14.19487	-5.89802	18.62939	22.22042	9.61382	84.45170	-15.12130	-26.37175	18.42710	48.50273	9.14633	90.95455	-15.17995	-47.39009	20.95343	36.16605	11.47610	94.20420	-14.16280	30.88670
48	19.09349	21.85000	11.73064	114.11538	-14.17830	9.01343	18.84558	20.88718	10.49701	93.22211	-15.31510	-10.06228	18.89328	44.01826	10.10950	100.11886	-15.59407	-31.81249	21.32638	34.42788	12.48522	100.99148	-13.73494	50.19983
49	19.27227	16.39179	12.91639	129.41339	-13.99182	27.21724	19.04564	19.06590	11.47483	104.14458	-15.33413	7.63802	19.30729	38.65596	11.16468	109.79775	-15.83002	-13.43766	21.67788	29.81178	13.58078	110.56757	-13.07922	72.67337
50	19.39743	10.69019	14.25683	146.20981	-13.59865	49.57901	19.22380	16.25738	12.57094	117.41060	-15.16148	27.60881	19.66197	32.39466	12.31773	120.25916	-15.86099	7.64787	21.97385	21.73305	14.80225	124.09630	-12.14874	99.73879
