	F01WBS_1.c3d	F01WBS_1.c3d	F01WBS_1.c3d	F01WBS_1.c3d	F01WBS_1.c3d	F01WBS_1.c3d	F01WBS_2.c3d	F01WBS_2.c3d	F01WBS_2.c3d	F01WBS_2.c3d	F01WBS_2.c3d	F01WBS_2.c3d	F01WBS_3.c3d	F01WBS_3.c3d	F01WBS_3.c3d	F01WBS_3.c3d	F01WBS_3.c3d	F01WBS_3.c3d	F01WBS_4.c3d	F01WBS_4.c3d	F01WBS_4.c3d	F01WBS_4.c3d	F01WBS_4.c3d	F01WBS_4.c3d	F01WBS_5.c3d	F01WBS_5.c3d	F01WBS_5.c3d	F01WBS_5.c3d	F01WBS_5.c3d	F01WBS_5.c3d
	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-19.92965	63.21814	7.11164	38.28042	-6.53878	54.96822	-17.94150	16.42769	8.28850	82.64044	-0.30403	87.80299	-18.19240	21.02645	8.61093	84.73769	-1.15514	113.77471	-19.59620	23.13671	8.45302	66.13177	-1.00008	104.10938	-17.53168	42.19871	8.70578	19.99125	0.41974	112.51677
2	-19.16122	72.51777	7.69384	40.21748	-5.83404	82.10969	-17.62253	12.72865	9.27725	97.69437	0.60778	95.29045	-17.73602	22.17366	9.64918	91.91344	-0.02050	110.93250	-19.14223	17.61466	9.44229	83.93023	0.19809	113.96146	-17.00535	38.92271	9.06543	38.02826	1.55295	120.70032
3	-18.26490	78.09669	8.35285	38.05108	-4.78463	109.60465	-17.29012	8.26554	10.41055	110.15497	1.52578	89.42229	-17.22158	22.16436	10.74700	98.70701	0.98002	91.55244	-18.65331	11.85754	10.64083	99.19121	1.39256	105.64143	-16.43989	35.58080	9.63570	55.85262	2.68793	111.56307
4	-17.29054	78.59879	9.02868	37.05998	-3.43744	129.78194	-16.95674	3.99176	11.64355	120.56041	2.28613	69.95144	-16.67784	21.13157	11.87785	105.84543	1.65534	60.91254	-18.13201	7.24462	11.97929	111.15775	2.34993	80.60628	-15.85476	32.02886	10.38864	73.78441	3.63210	85.41161
5	-16.30602	73.45631	9.70634	42.63005	-1.94239	135.87317	-16.62918	1.16507	12.93336	127.99670	2.75814	41.06679	-16.13018	20.04425	13.02582	111.71542	1.91682	27.18690	-17.57676	5.13338	13.37609	117.60775	2.91119	45.60006	-15.26988	28.88547	11.29526	90.37989	4.23381	47.84520
6	-15.38883	63.56407	10.41652	56.95850	-0.51499	125.77265	-16.30472	0.88888	14.23388	130.79083	2.88396	8.82116	-15.59133	20.39327	14.16994	113.96509	1.79397	-2.70099	-16.98494	6.51664	14.74204	116.79788	3.02911	8.31308	-14.69371	27.38439	12.31608	102.86145	4.42443	6.65239
7	-14.60602	51.43374	11.20817	77.24525	0.64393	102.46424	-15.97189	3.67781	15.49598	127.86650	2.67927	-21.46253	-15.05935	23.45232	15.27967	111.19305	1.39224	-25.44489	-16.35690	11.79065	15.99929	109.13780	2.74732	-25.46399	-14.11741	28.68631	13.39558	108.53997	4.21883	-31.20654
8	-13.99078	40.39492	12.10966	97.44000	1.41249	71.55099	-15.61685	9.34482	16.67418	119.57240	2.20732	-46.54522	-14.52299	29.66407	16.31964	103.36914	0.82996	-41.25403	-15.69896	20.69028	17.09966	96.79484	2.15712	-52.59407	-13.52009	33.15473	14.46642	106.15831	3.68988	-61.30890
9	-13.53183	33.20567	13.10647	111.60675	1.76319	38.76492	-15.23003	17.19891	17.73452	107.37586	1.54622	-65.36573	-13.96870	38.46483	17.25492	91.24446	0.19380	-52.05531	-15.02096	32.35895	18.02628	82.13501	1.35973	-72.14172	-12.88068	40.16682	15.46157	96.27129	2.93404	-82.13589
10	-13.18057	31.06177	14.14389	116.01872	1.74381	8.72277	-14.80886	26.32034	18.65739	92.92704	0.76576	-78.31075	-13.38546	48.58844	18.05385	75.67857	-0.47099	-59.63683	-14.33140	45.47844	18.78106	66.69250	0.44397	-84.55809	-12.18779	48.57114	16.32541	80.57375	2.04279	-94.36813
11	-12.86861	33.48744	15.14439	109.54626	1.44612	-15.69265	-14.35607	35.85182	19.43431	77.34649	-0.08094	-86.32872	-12.76509	58.66930	18.68934	57.37688	-1.14729	-64.93789	-13.63400	58.60160	19.37098	51.08900	-0.52285	-90.97786	-11.44155	57.29772	17.01779	60.93328	1.08753	-99.69880
12	-12.52669	38.97235	16.02888	93.31480	0.97158	-33.67936	-13.87475	45.24532	20.06202	61.04803	-0.95628	-90.34388	-12.10070	67.78541	19.14020	36.98988	-1.83016	-68.26918	-12.92673	70.61479	19.80086	35.40144	-1.49436	-92.63744	-10.64932	65.71625	17.51208	38.88719	0.11840	-99.85525
13	-12.09754	45.92513	16.73548	70.07668	0.40221	-46.14883	-13.36282	54.30662	20.53718	43.94351	-1.83322	-91.03176	-11.38508	75.63392	19.39281	15.37898	-2.51623	-69.68256	-12.20161	80.96729	20.07197	19.56173	-2.43859	-90.60162	-9.81900	73.68495	17.79245	15.73341	-0.82964	-96.23504
14	-11.54170	53.36579	17.22910	43.24617	-0.21186	-54.61414	-12.81020	63.04309	20.85386	25.88993	-2.69017	-88.94991	-10.61117	82.27501	19.44379	-6.12311	-3.19827	-69.24992	-11.44550	89.50033	20.18420	3.66438	-3.33267	-85.86960	-8.95466	81.31467	17.85384	-7.12031	-1.73129	-89.99716
15	-10.83859	61.09570	17.49927	15.92751	-0.84622	-60.21054	-12.20071	71.46587	21.00570	7.19879	-3.50966	-84.84460	-9.77462	87.80754	19.30357	-25.76060	-3.86514	-67.25220	-10.64351	96.18542	20.13984	-11.87599	-4.16146	-79.44053	-8.05758	88.66886	17.70507	-28.04091	-2.56851	-82.18533
16	-9.98419	69.42234	17.55228	-9.54109	-1.48863	-63.54515	-11.51810	79.45143	20.99187	-11.18737	-4.28090	-79.67059	-8.87618	92.30762	18.99776	-41.85965	-4.50529	-64.20324	-9.78356	101.00044	19.94701	-26.31548	-4.91687	-72.24061	-7.12937	95.63515	17.37042	-45.52833	-3.32996	-73.74593
17	-8.98801	78.69727	17.40554	-31.52993	-2.13048	-65.02934	-10.75217	86.73425	20.82182	-28.03112	-5.00063	-74.25615	-7.92125	95.93919	18.56321	-53.41021	-5.11119	-60.70818	-8.86001	103.91380	19.62207	-38.76603	-5.59766	-65.09438	-6.17298	101.93706	16.88585	-58.74577	-4.01131	-65.50595
18	-7.87092	88.90026	17.08569	-49.02081	-2.76440	-65.04863	-9.90137	93.09297	20.51469	-42.30056	-5.67045	-69.08395	-6.91789	98.95876	18.04073	-60.30423	-5.68136	-57.23028	-7.87400	104.98512	19.18907	-48.57031	-6.20953	-58.67225	-5.19174	107.17742	16.29096	-67.74153	-4.61548	-58.08876
19	-6.66267	99.39575	16.62637	-61.71321	-3.38391	-63.93148	-8.97091	98.58140	20.09516	-53.45956	-6.29407	-64.38784	-5.87531	101.53492	17.46775	-63.26805	-6.21862	-53.94737	-6.83081	104.56252	18.67538	-55.57638	-6.76378	-53.36850	-4.18869	111.01106	15.62141	-73.24710	-5.15081	-51.79855
