	F06WBS_1.c3d	F06WBS_1.c3d	F06WBS_1.c3d	F06WBS_1.c3d	F06WBS_1.c3d	F06WBS_1.c3d	F06WBS_2.c3d	F06WBS_2.c3d	F06WBS_2.c3d	F06WBS_2.c3d	F06WBS_2.c3d	F06WBS_2.c3d	F06WBS_3.c3d	F06WBS_3.c3d	F06WBS_3.c3d	F06WBS_3.c3d	F06WBS_3.c3d	F06WBS_3.c3d	F06WBS_4.c3d	F06WBS_4.c3d	F06WBS_4.c3d	F06WBS_4.c3d	F06WBS_4.c3d	F06WBS_4.c3d	F06WBS_5.c3d	F06WBS_5.c3d	F06WBS_5.c3d	F06WBS_5.c3d	F06WBS_5.c3d	F06WBS_5.c3d
	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-14.42099	49.69050	3.35940	67.08829	5.65909	129.69392	-13.69386	38.15989	2.86200	55.34316	7.04671	90.68070	-13.24958	37.17926	2.24671	68.58813	8.69915	78.83401	-13.16148	46.08480	3.54352	40.15446	6.34408	85.49563	-12.69178	59.46315	4.27471	58.11501	6.68590	47.14009
2	-13.91773	47.90754	4.15510	73.39876	6.93131	86.89461	-13.19619	42.82713	3.65454	59.07793	8.04157	40.34044	-12.80516	44.97790	3.10161	69.56242	9.57223	29.95306	-12.63324	47.84563	4.04168	42.31270	7.23485	40.60938	-11.94008	71.81522	4.93566	48.62337	7.15985	3.90653
3	-13.41423	50.18950	5.00078	74.17422	7.75717	39.74706	-12.61591	56.76806	4.40970	50.27863	8.45392	-7.35560	-12.23963	57.16210	3.89554	59.50221	9.92176	-15.29753	-12.06317	51.96001	4.54931	40.14742	7.64083	-2.23925	-11.02442	82.69972	5.42945	35.10756	7.15146	-30.64911
4	-12.85890	57.19333	5.80793	66.81324	8.10462	-4.21169	-11.84088	75.93011	4.93578	28.47125	8.31370	-43.62976	-11.50126	70.08392	4.49119	40.59519	9.77403	-48.88837	-11.41350	58.65517	4.99396	32.17091	7.59127	-35.60974	-9.97137	88.90300	5.72409	21.84220	6.75063	-53.44171
5	-12.19394	67.31301	6.46978	51.14017	8.00024	-39.57393	-10.80242	93.46055	5.08382	0.17392	7.74888	-65.25905	-10.58811	79.97929	4.80430	18.40097	9.24523	-67.98912	-10.65697	66.34190	5.30159	20.11967	7.17854	-56.44941	-8.85465	89.20940	5.85759	12.83751	6.08286	-65.40618
6	-11.37857	77.66404	6.89597	30.11312	7.51853	-63.97801	-9.52535	102.82150	4.82905	-23.43490	6.93009	-74.12703	-9.54853	84.93404	4.83119	-0.97857	8.48978	-74.52135	-9.79905	72.79633	5.44268	8.04937	6.52693	-65.91885	-7.76487	84.92457	5.91913	9.16926	5.27383	-69.70797
7	-10.40814	85.55755	7.04609	8.84356	6.76202	-77.87444	-8.14430	101.96413	4.31439	-33.63193	6.01320	-74.57348	-8.46128	85.24078	4.64730	-13.44318	7.64818	-72.95319	-8.88060	76.53721	5.44978	-0.40665	5.75732	-67.74986	-6.76726	78.78624	5.98942	8.38784	4.42764	-69.51530
8	-9.32176	89.61820	6.94632	-7.81553	5.84347	-83.25959	-6.83013	94.61588	3.77434	-30.91510	5.10873	-70.60380	-7.40543	82.80611	4.37052	-18.49965	6.81883	-67.69848	-7.95747	77.58123	5.39387	-4.17483	4.96243	-65.90910	-5.87714	73.27449	6.09024	6.90098	3.61703	-66.90952
9	-8.19083	90.05210	6.68033	-17.37109	4.87038	-82.55203	-5.68169	85.92898	3.37377	-22.64971	4.27711	-64.67173	-6.43016	79.83532	4.10211	-18.79576	6.05451	-61.65596	-7.06982	77.17024	5.33800	-4.81750	4.19634	-63.01875	-5.06766	69.54021	6.18720	2.74702	2.88019	-62.87090
10	-7.09120	88.17229	6.35688	-20.23057	3.92993	-77.98608	-4.70727	78.26086	3.14349	-15.09880	3.53796	-57.95091	-5.54339	77.38906	3.88587	-17.77028	5.36988	-56.24051	-6.22477	76.68739	5.30478	-4.88135	3.47705	-60.14793	-4.30015	67.32072	6.23003	-3.62565	2.22634	-57.82082
11	-6.07308	85.53374	6.06684	-18.81750	3.07615	-71.40149	-3.87673	71.41560	3.03765	-10.38350	2.88522	-51.02996	-4.72769	75.05872	3.71296	-17.32394	4.75216	-51.99427	-5.40291	76.70766	5.27810	-6.08446	2.79957	-57.36306	-3.54959	65.70293	6.18944	-10.27610	1.64931	-52.28265
12	-5.14879	83.00674	5.85275	-16.00993	2.32563	-64.14520	-3.15885	64.60099	2.99575	-8.30369	2.30294	-44.47927	-3.96559	71.93009	3.55786	-17.31261	4.17419	-49.04076	-4.58024	76.73330	5.22846	-8.53057	2.15287	-54.40382	-2.80972	63.89529	6.07040	-15.08638	1.13615	-47.17594
13	-4.30465	80.49168	5.70857	-13.76625	1.66711	-57.04569	-2.52988	57.62570	2.96939	-7.96117	1.77534	-39.22342	-3.25142	67.57893	3.40737	-16.65616	3.60756	-47.30935	-3.74924	75.65388	5.13867	-11.06090	1.53155	-51.25699	-2.08579	61.56711	5.90436	-16.66603	0.66463	-43.45859
14	-3.52104	77.55715	5.60456	-12.57979	1.07844	-50.61778	-1.96748	51.35268	2.93080	-8.22223	1.28543	-36.35592	-2.58683	62.36742	3.26690	-14.48355	3.03183	-46.61460	-2.92437	72.60135	5.01569	-12.10279	0.93659	-48.30910	-1.38559	58.93981	5.73440	-14.79429	0.20327	-41.46459
15	-2.78289	74.11715	5.51511	-11.83030	0.53909	-45.32558	-1.44313	46.97441	2.87500	-7.86455	0.81129	-36.23802	-1.97146	57.13347	3.15397	-10.58135	2.43925	-46.65598	-2.13357	67.60107	4.88959	-10.51625	0.36984	-46.05507	-0.71252	56.68338	5.59941	-10.68790	-0.27438	-40.62273
16	-2.08067	70.35376	5.43250	-10.56314	0.03396	-41.57562	-0.92751	44.85255	2.81732	-5.96927	0.33184	-37.94910	-1.39779	52.77948	3.08808	-5.37667	1.83450	-47.04947	-1.40195	61.74607	4.80003	-6.38780	-0.17136	-44.68961	-0.06016	55.58564	5.51719	-6.40915	-0.77368	-39.94496
17	-1.40979	66.48323	5.36482	-8.14204	-0.44721	-39.51551	-0.40078	44.54568	2.78250	-2.39045	-0.16501	-39.98854	-0.84979	50.03203	3.08138	0.39730	1.22826	-47.46570	-0.73519	56.74119	4.77454	-1.00933	-0.69395	-43.92729	0.58709	55.97482	5.48032	-3.51865	-1.28322	-38.73324
18	-0.76769	62.89761	5.32681	-4.62482	-0.91117	-38.90455	0.14509	45.33898	2.79289	2.41459	-0.68061	-41.29363	-0.30561	49.15287	3.13606	6.03391	0.62860	-47.76625	-0.11546	53.84404	4.81749	4.09814	-1.20387	-43.17076	1.24598	57.44126	5.46638	-2.63855	-1.78882	-36.82594
19	-0.14793	60.18401	5.32771	-0.80450	-1.36248	-39.13975	0.70622	46.42516	2.86463	7.72997	-1.20683	-41.49199	0.25415	49.82827	3.24628	10.83424	0.03778	-47.92907	0.48523	53.02723	4.91603	8.07769	-1.70151	-41.91032	1.92691	59.01080	5.44771	-3.61194	-2.28075	-34.62586
